Term,Course,Textbook
19F,engs4,No Textbook Required
19F,engs12,"1.  Moleskine notebook (hardcover) 5.25 in. x 8.25 in. unlined; regular weight paper
2. 101 Design Methods; Vijay Kumar; 2013; Wiley & Son."
19F,engs13,"1) Mountains Beyond Mountains; Tracy Kidder (paperback); ISBN 0812973011.  
2) The Innovator's Prescription; A Disruptive Solution for Healthcare; Clayton Christensen; ISBN 978-0-07-159208-6. "
19F,engs20,"Optional:
A First Book of ANSI C; 4th Edition; Bronson; Brooks/Cole; 2001. ISBN 1418835560. 
MATLAB: A Practical Intro to Programming and Problem Solving; Stormy Attaway; 2nd Edition and above; ISBN 0123850819. "
19F,engs21,No Textbook Required.
19F,engs22,"1. Differential Equations and Linear Algebra: 4th Edition by C. Henry Edwards; David E. Penney; David T. Calvis Pearson; 2018; ISBN-10: 013449718X 
2. System Dynamics; William J. Palm III; 3rd Edition; ISBN-13: 978-0073398068"
19F,engs23, Engineering Field Theory; Österberg and Hansen; 2015 (will be distributed in class). 
19F,engs26,Modern Control Engineering; Ogata; Prentice-Hall; 5th Edition; 2010; ISBN-10: 0136156738. 
19F,engs27,Probability with Applications in Engineering; Science; and Technology; Carlton and Devore; Springer; ISBN 978-3-319-52400-9
19F,engs33,Statics and Mechanics of Materials by R. C. Hibbeler; (5th Edition); Pearson; ISBN 10: 0134382595. 
19F,engs35,No Textbook Required
19F,engs36,"1) Unit Operations of Chemical Engineering; McCabe; Smith & Harriott; 7th Edition; McGraw-Hill; ISBN 0072848235. 
2) Chem; Biochem; & Engg Thermodynamics; Sandler; Wiley & Sons; 4th Edition; ISBN 0471661740. 
3 )Elements of Chem Reaction Engineering; Fogler; Macmillan; 4th Edition; ISBN 0130473944.                                                             "
19F,engs37,No Textbook Required
19F,engs50,A First Book of ANSI C; Fourth Edition by Gary J. Bronson
19F,engs64,"Required:
Engineering Electromagnetics; 8th Edition (2012) McGraw-Hill Higher Ed by William Hayt and John Buck; ISBN10: 0073380660
Recommended:
A Student's Guide to Maxwell's Equations (2008); Cambridge University Press by Daniel Fleisch; ISBN-10: 0521701473.
Field and Wave Electromagnetics; David K. Cheng; 2nd edition; Addison-Wesley Publishing Company;  ISBN-10: 0201128195 "
19F,engs72,"Engineering Mechanics:  Dynamics; Russell Hibbeler;  ISBN-10: 0133915387 | ISBN-13: 978-0133915389 | Edition: 14; 
Pearson."
19F,engs76,Shigley’s Mechanical Engineering Design; R.G. Budynas & J.K. Nisbett; McGraw-Hill; 10th edition; ISBN-10: 0073398209 | ISBN-13: 978-0073398204
19F,engs89,No Textbook Required
19F,engs91,"Optional:
Numerical Analysis; Burden; PWS; 0538733519; 10th Edition (Any edition 7 and up is fine.)"
19F,engs92,Fourier Transforms:  Principles and Applications; Eric W. Hansen; (Wiley; Sept. 2014); ISBN-10: 1118479149; ISBN-13: 978-1118479148
19F,engs93,Applied Statistics and Probability for Engineers; Montgomery and Runger; 5th Edition; ISBN-13: 978-0470053041
19F,engs108,No Textbook Required
19F,engs125,No Textbook Required
19F,engs131,"Recommended: 
1. Principles of Electronic Materials and Devices; S.O. Kasap; 3rd Edition; McGraw-Hill; 2006; ISBN 0073104647. 
2. Electronic Properties of Materials; Robert E Hummel; 3rd Edition; Springer 2001; ISBN 038795144X. 
3. Intro to quantum mechanics: in chemistry; materials science; and biology; S.M. Blinder; Elsevier 2004; SBN-13: 978-0121060510 "
19F,engs160,No Textbook Required
19F,engg168,No Textbook Required
19F,engg174,No Textbook Required
19F,engm178,No Textbook Required
19F,engm181,Strategic Marketing Management: The Framework; Alexander Chernev; 10th Edition; Cerebellum Press; ISBN-10: 1936572591
19F,engm184,Optimization Modeling with Spreadsheets; K. Baker; 3rd Edition; John Wiley & Sons. ISBN-13: 978-1118937693
19F,engm188,"1) Intellectual Property; Patents; Trademarks; Copyrights in a Nutshell; Arthur Miller and Michael Davis; 5th Edition; ISBN-13: 9780314278340. 
2) Corporate Finance in a Nutshell (Nutshells) 3rd Edition by Jeffrey Haas. Publisher: West Academic Publishing; 3 edition 
(September 1; 2015) ISBN-10: 0314289631.
3) Shade’s Business Associations in a Nutshell; Joseph Shade and David Epstein; 3rd Edition; ISBN-13: 9780314208514. 
4) International Business Transactions in a Nutshell (Nutshells) 10th Editionby Ralph Folsom; Michael Gordon; Michael Van Alstine; Michael Ramsey. Publisher: West Academic Publishing; 10 edition (April 1; 2016)ISBN-10: 1634598938"
19F,engm189,No textbook required.
19F,engm189,No textbook required.
19F,engm190,"Required: Platform Revolution; G. Parker; M. Van Alstyne; and S. Choudary; lst edition; 2016; ISBN-10: 0393354350
Recommended: Platform Ecosystems: Aligning Architecture; Governance; and Strategy; 1st edition; Amrit Tiwana;  ISBN-13: 978-0124080669."
19F,engg195,No textbook required.
19F,engg260,No Textbook Required
19F,engg321,No Textbook Required
19F,engg325,No Textbook Required
19F,engm387,No Textbook Required